id,name,type,typecode,lng,lat,pname,cityname,adname,address,biz_status,city,group,pair_id,search_type,search_typecode
B0JRGZRTNX,悦宴潮汕鸡炉,餐饮服务;茶艺馆;茶艺馆,050600,116.698642,23.465623,广东省,潮州市,潮安区,站前路与安南路交叉口东南260米,,潮州,control,5,餐饮服务,050000
B0JDOS8DWB,蓝小轩蛋糕(槐山岗店),餐饮服务;糕饼店;糕饼店,050800,116.604412,23.629767,广东省,潮州市,潮安区,潮汕路槐山岗1号铺,,潮州,control,5,餐饮服务,050000
B0JD75ENO7,袁小饺(西新市场店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.63975,23.660566,广东省,潮州市,湘桥区,西新路4/14号门店,,潮州,control,5,餐饮服务,050000
B0J0UC6445,HOOTGIRL韩式炸鸡(湘桥店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.627454,23.672341,广东省,潮州市,湘桥区,凤新街道华升园8号铺面,,潮州,control,5,餐饮服务,050000
B0J0UC6445,HOOTGIRL韩式炸鸡(湘桥店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.627454,23.672341,广东省,潮州市,湘桥区,凤新街道华升园8号铺面,,潮州,control,5,餐饮服务,050000
B0IBYZW2T3,蓝小轩蛋糕•面包•烘焙(磷溪店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.665816,23.638734,广东省,潮州市,湘桥区,安澄公路金色童年摄影楼下,,潮州,control,5,餐饮服务,050000
B0H1KC4JDX,华莱士·全鸡汉堡(新丰路店),餐饮服务;快餐厅;快餐厅,050300,116.861204,24.048285,广东省,潮州市,饶平县,金丰路与新卫路交叉口东南20米,,潮州,control,5,餐饮服务,050000
B0FFKBWYSQ,华莱士·全鸡汉堡(凤园路店),餐饮服务;快餐厅;快餐厅,050300,116.628203,23.674134,广东省,潮州市,湘桥区,新洋路北段区机关楼潮州市湘桥区人民政府对面,,潮州,control,5,餐饮服务,050000
B0FFG6AY23,港义饭店,餐饮服务;中餐厅;中餐厅,050100,116.994013,23.542573,广东省,潮州市,饶平县,海山镇东港,,潮州,control,5,餐饮服务,050000
B03000N40J,老肥大排档,餐饮服务;中餐厅;中餐厅,050100,116.775329,23.617576,广东省,潮州市,湘桥区,086县道与539国道交叉口北60米,,潮州,control,5,餐饮服务,050000
B030000T8U,溪口粦利鹅肉(吉怡路),餐饮服务;餐饮相关场所;餐饮相关,050000,116.632928,23.657864,广东省,潮州市,湘桥区,吉怡路信怡新园B幢铺面4号,,潮州,control,5,餐饮服务,050000
B0FFF514RV,文苑餐厅,餐饮服务;中餐厅;潮州菜,050123,116.679804,23.758716,广东省,潮州市,潮安区,文祠镇231省道文祠老市,,潮州,control,5,餐饮服务,050000
B0FFHMVHIS,兄弟砂锅粥(枫溪鳝鱼弟分店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.624607,23.640246,广东省,潮州市,潮安区,枫溪镇南郊西路中段南国明珠B区后面唐人街对面,,潮州,control,5,餐饮服务,050000
B0FFFA4UBZ,南春炒粿条(南德园店),餐饮服务;中餐厅;中餐厅,050100,116.646316,23.654394,广东省,潮州市,湘桥区,广智楼东南门西南50米,,潮州,control,5,餐饮服务,050000
B0FFJ69SNV,老城潮菜馆(中山店),餐饮服务;中餐厅;潮州菜,050123,116.649723,23.670716,广东省,潮州市,湘桥区,中山路同庆里1/1、2/1、2号,,潮州,control,5,餐饮服务,050000
B0FFI91V0I,人才咖啡(文星路店),餐饮服务;咖啡厅;咖啡厅,050500,116.648213,23.668879,广东省,潮州市,湘桥区,文星路4号,,潮州,control,5,餐饮服务,050000
B0M6U5QTRZ,蓝小轩蛋糕(古板头店),餐饮服务;糕饼店;糕饼店,050800,116.611301,23.633021,广东省,潮州市,潮安区,古板头村道与龙秋下路交叉口西40米,,潮州,control,5,餐饮服务,050000
B0LRYCVU2D,四个朋友自助棋牌(龙湖下阁洲店),体育休闲服务;娱乐场所;棋牌室|餐饮服务;中餐厅;中餐厅,080306|050100,116.643929,23.568264,广东省,潮州市,潮安区,299乡道与下阁洲南路交叉口东200米,,潮州,control,5,餐饮服务,050000
B0LR0RNTRQ,小旭糖水掂,餐饮服务;餐饮相关场所;餐饮相关,050000,116.623137,23.671906,广东省,潮州市,湘桥区,凤新街道绿榕路榕华园南向22号首层门市,,潮州,control,5,餐饮服务,050000
B0L67HNT8R,古茗(枫溪瓷兴路店),餐饮服务;冷饮店;冷饮店,050700,116.604441,23.655079,广东省,潮州市,潮安区,枫溪商城,,潮州,control,5,餐饮服务,050000
B0K32Z40G9,釜山大排档·韩式烤肉,餐饮服务;餐饮相关场所;餐饮相关,050000,116.619635,23.67021,广东省,潮州市,湘桥区,凤新街道陈桥新楼区20号首层东侧,,潮州,control,5,餐饮服务,050000
B0JKMKEZZR,川香阁(卧石路店),餐饮服务;中餐厅;四川菜(川菜),050102,116.66784,23.655784,广东省,潮州市,湘桥区,卧石路平安公寓楼下,,潮州,control,5,餐饮服务,050000
B0IDKSIXI2,茗茗小品共享茶室(恒碧店),餐饮服务;茶艺馆;茶艺馆,050600,116.60852,23.683557,广东省,潮州市,湘桥区,鑫源衡门业东北50米(北站路),,潮州,control,5,餐饮服务,050000
B0I1OSDDAK,深井烧鹅(彩虹花园店),餐饮服务;中餐厅;中餐厅,050100,116.618152,23.65216,广东省,潮州市,潮安区,彩虹东路彩虹花园入口处,,潮州,control,5,餐饮服务,050000
B0GULZRRG5,老牌甜汤,餐饮服务;中餐厅;中餐厅,050100,117.005618,23.67201,广东省,潮州市,饶平县,菜场街134号东北60米,,潮州,control,5,餐饮服务,050000
B0FFG5CCK5,官塘阿祥鱼虾生,餐饮服务;中餐厅;中餐厅,050100,116.623897,23.645652,广东省,潮州市,潮安区,南国明珠西门斜对面,,潮州,control,5,餐饮服务,050000
B0FFFZ8YY9,老赤火锅(彩虹店),餐饮服务;中餐厅;火锅店,050117,116.620543,23.64902,广东省,潮州市,潮安区,彩虹路99号,,潮州,control,5,餐饮服务,050000
B03000MQT3,海胜茗苑,餐饮服务;茶艺馆;茶艺馆|餐饮服务;中餐厅;中餐厅,050600|050100,116.989659,23.666252,广东省,潮州市,饶平县,新力路5号,,潮州,control,5,餐饮服务,050000
B0FFGK5JJ4,城西牛肉火锅,餐饮服务;中餐厅;火锅店,050117,116.976248,23.672672,广东省,潮州市,饶平县,黄冈大道平县检察院正对面,,潮州,control,5,餐饮服务,050000
B0FFG4OQQN,众味吉煎饼果子(西荣路店),餐饮服务;快餐厅;快餐厅,050300,116.637677,23.673887,广东省,潮州市,湘桥区,西荣路55-18号,,潮州,control,5,餐饮服务,050000
B0FFF742UQ,拾客相约汉堡饮品店,餐饮服务;快餐厅;快餐厅,050300,116.628331,23.518555,广东省,潮州市,潮安区,金石镇厂头大路顶中区,,潮州,control,5,餐饮服务,050000
B0FFF4Z0OR,象山牛肉火锅,餐饮服务;中餐厅;火锅店,050117,116.737694,23.641695,广东省,潮州市,湘桥区,凤东路与242乡道交叉口西340米,,潮州,control,5,餐饮服务,050000
B0FFHEHBMN,合想炒粿条(新店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.644603,23.675956,广东省,潮州市,湘桥区,城西街道北关新村c栋15号铺面,,潮州,control,5,餐饮服务,050000
B0FFF6TI5X,荣兴大排档(意溪店),餐饮服务;中餐厅;潮州菜,050123,116.662263,23.686742,广东省,潮州市,湘桥区,北桥路与金山大桥交叉口东150米,,潮州,control,5,餐饮服务,050000
B0FFFA4VBK,老牌鱼生·汫洲蚝店(潮州民主大厦店),餐饮服务;中餐厅;中餐厅,050100,116.626725,23.666925,广东省,潮州市,湘桥区,民主大厦西门旁,,潮州,control,5,餐饮服务,050000
B0FFIYALDQ,老三创新牛肉粿条(凤山店),餐饮服务;中餐厅;中餐厅,050100,116.623049,23.673936,广东省,潮州市,湘桥区,绿榕路榕华园北向2号商铺,,潮州,control,5,餐饮服务,050000
B030000E2W,声乐大酒店,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,100103|050000,116.678116,23.453059,广东省,潮州市,潮安区,亨利北路,,潮州,control,5,餐饮服务,050000
B0FFJEUHN3,鲁弟鱼生,餐饮服务;餐饮相关场所;餐饮相关,050000,116.72468,23.616005,广东省,潮州市,湘桥区,官塘镇安澄公路官塘路段10号派出所斜对面,,潮州,control,5,餐饮服务,050000
B0FFJ12J9S,潮汕铠哥·炒酸奶烤冷面(新发园A区店),餐饮服务;冷饮店;冷饮店,050700,116.600259,23.655717,广东省,潮州市,潮安区,新发园A区西门西北50米,,潮州,control,5,餐饮服务,050000
B0FFIRD5ZD,大学生四目肠粉,餐饮服务;中餐厅;中餐厅,050100,116.61853,23.529088,广东省,潮州市,潮安区,金石镇金源街9.11号,,潮州,control,5,餐饮服务,050000
B0FFGJV5SS,老沛烧烤,餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;特色/地方风味餐厅,050101|050118,116.623187,23.640995,广东省,潮州市,潮安区,池湖路老沛烧烤,,潮州,control,5,餐饮服务,050000
B0FFG4CWBD,曾记酸菜鱼,餐饮服务;中餐厅;中餐厅,050100,116.66839,23.482374,广东省,潮州市,潮安区,新安大道彩塘镇骊三路口往潮州方向50米,,潮州,control,5,餐饮服务,050000
B0FFF4QQBT,豪格野生菇食坊,餐饮服务;中餐厅;中餐厅,050100,116.655171,23.483184,广东省,潮州市,潮安区,彩金路亚桃住宿对面,,潮州,control,5,餐饮服务,050000
B0FFFA4WBK,新湘源湘菜馆,餐饮服务;中餐厅;湖南菜(湘菜),050108,116.627767,23.67603,广东省,潮州市,湘桥区,信访局隔壁,,潮州,control,5,餐饮服务,050000
B0LGF5PD65,惠来脆皮绿豆饼(广济楼店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.651812,23.662965,广东省,潮州市,湘桥区,东门街与上东平路交叉口东南40米,,潮州,control,5,餐饮服务,050000
B0LAAAMDDB,刘记卤鹅·卤水火锅·鹅肉饭(潮州古城店),餐饮服务;中餐厅;火锅店,050117,116.646375,23.668175,广东省,潮州市,湘桥区,上西平路59号,,潮州,control,5,餐饮服务,050000
