日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2023-01-31,1.4037624,2.0147616,3.369924,3.0023784,2.0917764,1.385748,0.7011684,0.9976608,0.7702128,1.1462472
2023-02-01,1.3367592,1.8636804,2.9792448,2.5676676,1.6965612,1.332288,0.6578172,0.9503244,0.7141932,1.131894
2023-02-02,1.305882,1.8651384,2.7243216,2.4014232,1.664712,1.2964536,0.6498468,0.8905788,0.6242832,1.1023452
2023-02-03,1.3302468,1.9370664,2.69892,2.4282504,1.8990936,1.3427208,0.6398352,0.9687276,0.5353452,1.1533428
2023-02-04,1.4896548,2.0171592,2.3746608,2.266866,2.6786052,1.5363756,0.619326,1.245132,0.4974048,1.301022
2023-02-05,1.2498624,1.6727472,1.890054,2.0620332,2.717064,1.3490064,0.5021352,1.057212,0.413424,1.132704
2023-02-06,1.6477992,2.0682216,4.3152588,4.088232,1.9150992,1.4733576,0.6647832,0.9230112,0.765288,1.1339676
2023-02-07,1.4751396,1.8154044,3.4020648,3.0625128,1.5677388,1.329696,0.5837508,0.8492364,0.5238108,1.0739952
2023-02-08,1.3989996,1.7310996,2.9706264,2.6314308,1.4527188,1.1722644,0.4793904,0.7340544,0.436104,1.0182672
2023-02-09,1.3249656,1.6352604,2.8769256,2.5891488,1.3234428,1.0320696,0.489888,0.6837696,0.3968352,1.05462
2023-02-10,1.4125428,1.8090216,2.9235168,2.4989796,1.62081,1.221966,0.5552388,0.9186048,0.4827924,1.0440252
2023-02-11,1.7356032,2.4697548,2.6951616,2.542428,2.5482924,1.59975,0.5785668,1.1228544,0.688662,1.4100804
2023-02-12,1.4893308,2.038122,2.5395768,2.590542,1.9102068,1.4728716,0.48357,0.8350776,0.598266,1.0360872
2023-02-13,1.388988,1.7825508,2.7729216,2.7299592,1.4695344,1.2681036,0.4153032,0.7272504,0.4558032,0.904932
2023-02-14,1.3409712,1.674756,2.5261308,2.4307452,1.430136,1.165266,0.424926,0.7018812,0.3888324,0.7892964
2023-02-15,1.2985272,1.6563528,2.5202664,2.4244596,1.4007492,1.1487744,0.460728,0.7258896,0.3768768,0.8384796
2023-02-16,1.3522788,1.7321364,2.609658,2.54826,1.4357412,1.2194064,0.4630608,0.7376832,0.3867912,0.8090928
2023-02-17,1.475496,1.8583668,2.7876312,2.7588924,1.578852,1.3777128,0.491832,0.8639136,0.4274532,0.988848
2023-02-18,1.9696932,2.1807468,2.8496124,2.922804,2.5504632,2.0929104,0.5698188,1.1220444,0.5315868,1.4002632
2023-03-17,1.6935156,2.1208392,2.4780168,2.6384292,1.6180236,1.3876272,0.455544,0.9328932,0.5374836,0.8995212
2023-03-18,2.236086,2.4860196,2.418174,2.5278804,2.2846536,1.6777692,0.528282,1.2482424,0.5680692,1.3446324
2023-03-19,1.8394452,2.175498,2.3810436,2.7994896,1.961658,1.4446188,0.4841856,0.9214884,0.4744656,0.9793224
2023-03-20,1.644948,2.039094,2.4868944,2.734236,1.672974,1.369872,0.4887864,0.8605764,0.4861944,0.844182
2023-03-21,1.4632812,1.8526644,2.1803256,2.3390208,1.3691592,1.2006468,0.4306608,0.7586136,0.4099248,0.7608168
2023-03-22,1.3765788,1.7790192,2.0516976,2.2109436,1.3415868,1.1549304,0.3992004,0.7122816,0.4036068,0.7152948
2023-03-23,1.3885344,1.844694,2.1928644,2.3306292,1.3840956,1.2185316,0.3812184,0.6882732,0.3982608,0.75897
2023-03-24,1.6545384,2.0098044,2.5275888,2.5931664,1.6911828,1.3744728,0.4495176,0.8507268,0.4643244,0.7577712
2023-03-25,2.1373632,2.3780304,2.8139076,2.4824232,2.381562,1.6320528,0.5409828,1.1951064,0.5827788,0.8789472
2023-03-26,1.7524512,2.1712536,2.3939388,2.6499636,1.9739052,1.453302,0.4672728,0.9501948,0.4766688,0.6913836
2023-03-27,1.6181532,2.094174,2.358234,2.6124768,1.7125668,1.4616936,0.4897584,0.8934948,0.4851252,0.7281576
2023-03-28,1.473066,1.8530856,2.072628,2.2663152,1.4455908,1.2779532,0.4415796,0.7753968,0.4290084,0.670032
2023-03-29,1.4109876,1.868994,2.0397744,2.1835008,1.4508396,1.278342,0.4413204,0.775494,0.404028,0.6071436
2023-03-30,1.4790276,1.9252728,2.0891844,2.3657508,1.5684192,1.2841092,0.4391496,0.787644,0.3934332,0.6575904
2023-03-31,1.7400096,2.1895596,2.4061212,2.9113668,1.9729008,1.5729228,0.530874,1.018494,0.4976316,0.7904952
2023-04-01,2.41623,2.8259604,2.4700788,2.6706348,3.0280392,2.1940632,0.6792012,1.4591664,0.6315408,1.1298852
2023-04-02,2.001996,2.6881632,2.4526152,2.8942272,2.3905368,1.8995796,0.491832,0.9411552,0.566514,1.0400076
2023-04-03,1.7500212,2.2256532,2.375892,2.6514864,1.7092944,1.5938532,0.4599828,0.776952,0.568134,1.1016972
2023-04-04,1.4711544,1.7819028,2.0778444,2.2530636,1.8366912,1.4466276,0.4423572,0.7762716,0.5238756,1.5160932
2023-04-05,1.6359084,1.7520624,2.3895972,2.5162488,2.2601916,1.567836,0.4627044,1.037934,0.5914296,1.6014672
2023-04-06,1.5286968,1.9299708,2.184894,2.5782948,1.7209908,1.4173704,0.419742,0.7873848,0.5739336,0.8463528
2023-04-07,1.6850916,1.92699,2.297646,2.5195536,2.0147616,1.5178752,0.450684,0.9428724,0.5757804,0.8122032
2023-04-08,2.2214412,2.2797288,2.4024276,2.3518512,2.7351756,1.8521784,0.4990572,1.3526676,0.6514344,1.0640808
2023-04-09,1.907874,2.1367152,2.4664176,2.737476,2.2728276,1.6295904,0.4605012,1.005858,0.5079996,0.8541612
2023-04-10,1.7227404,2.0641716,2.395332,2.6788644,1.9300032,1.5791112,0.5150304,0.9029232,0.503172,0.7754292
2023-04-11,1.6008516,1.9340208,2.1605616,2.2297356,1.6928352,1.4217768,0.4709664,0.8418168,0.455706,0.7198632
2023-04-12,1.5891552,1.868184,2.1050928,2.2167756,1.6708356,1.3583052,0.4627044,0.7852464,0.4284252,0.7437744
2023-04-13,1.66779,1.87353,2.1682728,2.2602564,1.6686648,1.3353012,0.4491288,0.7676856,0.4210704,0.7132536
2023-04-14,2.0487168,2.0660508,2.5214004,2.69568,2.0250972,1.5398748,0.478224,0.9891396,0.497502,0.8202708
2023-04-15,3.1216428,2.458188,2.515536,2.6123796,2.8787724,1.8850644,0.5476896,1.4349312,0.6541884,1.2669048
2023-04-16,2.5036776,2.2824504,2.382858,2.766474,2.4174288,1.5539688,0.4927716,1.0686492,0.5104296,0.9138744
2023-04-17,2.1432276,2.1738132,2.4234876,2.6938008,1.982232,1.5925896,0.5148036,0.984312,0.496854,0.8120088
